Aktivitetstype,Dato,Favorit,Titel,Distance,Kalorier,Tid,Gennemsnitlig puls,Maks. puls,Aerob TE,Gennemsnitlig kadence,Maksimum kadence,Gennemsnitstempo,Bedste tempo,Højdeforøgelse,Højdereduktion,Gennemsnitlig skridtlængde,Gennemsnitligt vertikalt forhold,Gennemsnitligt vertikalt udsving,Gennemsnitlig kontakt med jorden,Gennemsnitlig balance for tid med jordkontakt,Gennemsnitlig kadence,Maksimum kadence,Normalized Power® (NP®),Venstre/højre balance,Training Stress Score®,Maksimum gennemsnitlig effekt (20 min),Effekt,Maksimal effekt,Samlet rotag,Gennemsnitlig swolf,Gennemsnitlig hastighed for tag,Max dybde,Bundtid,Laveste vandtemperatur,Gastype,Overfladeinterval,Dekompression,Vægt,Strøm,Forhold på overfladen,Vandtype
running,2018-04-29 16:16:17,false,"Aarhus Løb","0,02","9","0:52,7","--","--","0,0","--","--","47:21","0:26","--","--","0,00","0,0","0,0","--","--","--","--","--","--","0,0","--","--","--","--","--","--","--","0:00","0,0","--","0:00","Nej","--","--","--","--"
road_biking,2018-04-29 10:46:53,false,"Bakkeløbet, Hørning","53,66","3.112","2:30:27","--","--","0,0","--","--","21,4","47,2","427","425","0,00","0,0","0,0","--","--","--","--","--","--","0,0","--","--","--","--","--","--","--","0:00","0,0","--","0:00","Nej","--","--","--","--"
virtual_ride,2018-04-27 09:14:49,false,"Zwift - Jon's Short Mix","14,12","216","29:55","--","--","0,0","--","--","28,3","48,3","66","--","0,00","0,0","0,0","--","--","66","104","150","--","0,0","145","125","542","--","--","--","--","0:00","0,0","--","0:00","Nej","--","--","--","--"
running,2018-04-20 15:45:51,false,"Aarhus Løb","26,16","1.869","1:39:30","--","--","0,0","--","--","3:48","1:25","129","129","0,00","0,0","0,0","--","--","--","--","--","--","0,0","--","--","--","--","--","--","--","0:00","0,0","--","0:00","Nej","--","--","--","--"
road_biking,2018-04-19 16:11:21,false,"Testtur med Riders","38,94","2.333","2:14:11","--","--","0,0","--","--","17,4","54,5","245","246","0,00","0,0","0,0","--","--","--","--","--","--","0,0","--","--","--","--","--","--","--","0:00","0,0","--","0:00","Nej","--","--","--","--"
walking,2018-04-17 15:53:32,false,"Gåtur ","6,35","369","1:20:02","--","--","0,0","--","--","12:36","2:25","35","38","0,00","0,0","0,0","--","--","--","--","--","--","0,0","--","--","--","--","--","--","--","0:00","0,0","--","0:00","Nej","--","--","--","--"
virtual_ride,2018-04-15 09:35:34,false,"Zwift - London","30,17","568","1:13:56","--","--","0,0","--","--","24,5","78,2","354","--","0,00","0,0","0,0","--","--","61","90","148","--","0,0","147","134","465","--","--","--","--","0:00","0,0","--","0:00","Nej","--","--","--","--"
virtual_ride,2018-04-13 14:24:57,false,"Zwift - Watopia","21,69","333","40:36","--","--","0,0","--","--","32,1","51,2","125","--","0,00","0,0","0,0","--","--","59","87","157","--","0,0","151","143","422","--","--","--","--","0:00","0,0","--","0:00","Nej","--","--","--","--"
virtual_ride,2018-04-09 16:16:21,false,"Zwift - Watopia","17,17","289","35:08","--","--","0,0","--","--","29,3","59,9","150","--","0,00","0,0","0,0","--","--","62","98","156","--","0,0","155","143","390","--","--","--","--","0:00","0,0","--","0:00","Nej","--","--","--","--"
virtual_ride,2018-04-06 14:08:50,false,"Zwift - SST (Short)","24,31","394","50:13","--","--","0,0","--","--","29,0","67,8","146","--","0,00","0,0","0,0","--","--","67","84","141","--","0,0","146","137","218","--","--","--","--","0:00","0,0","--","0:00","Nej","--","--","--","--"
virtual_ride,2018-04-02 10:28:43,false,"Zwift - FTP Test","32,62","510","1:13:09","--","--","0,0","--","--","26,8","72,8","281","--","0,00","0,0","0,0","--","--","63","99","143","--","0,0","169","121","276","--","--","--","--","0:00","0,0","--","0:00","Nej","--","--","--","--"
virtual_ride,2018-03-30 10:00:35,false,"Zwift - 3x15 FTP Intervals","50,24","857","1:52:40","--","--","0,0","--","--","26,8","54,8","512","--","0,00","0,0","0,0","--","--","65","84","146","--","0,0","156","132","397","--","--","--","--","0:00","0,0","--","0:00","Nej","--","--","--","--"
virtual_ride,2018-03-28 10:28:04,false,"Zwift - London","25,85","422","53:52","--","--","0,0","--","--","28,8","56,6","138","--","0,00","0,0","0,0","--","--","63","96","153","--","0,0","147","136","479","--","--","--","--","0:00","0,0","--","0:00","Nej","--","--","--","--"
virtual_ride,2018-03-26 13:13:33,false,"Zwift - SST (Short)","25,55","431","52:15","--","--","0,0","--","--","29,3","67,9","152","--","0,00","0,0","0,0","--","--","59","95","151","--","0,0","158","143","429","--","--","--","--","0:00","0,0","--","0:00","Nej","--","--","--","--"
virtual_ride,2018-03-24 11:54:11,false,"Zwift - The Wringer","17,70","313","43:56","--","--","0,0","--","--","24,2","62,4","178","--","0,00","0,0","0,0","--","--","65","115","182","--","0,0","137","124","404","--","--","--","--","0:00","0,0","--","0:00","Nej","--","--","--","--"
virtual_ride,2018-03-20 15:57:53,false,"Zwift - 45min Riders Choice","18,46","362","46:32","--","--","0,0","--","--","23,8","78,5","234","--","0,00","0,0","0,0","--","--","62","84","142","--","0,0","147","136","278","--","--","--","--","0:00","0,0","--","0:00","Nej","--","--","--","--"
virtual_ride,2018-03-16 10:30:06,false,"Zwift - Watopia","26,04","442","55:08","--","--","0,0","--","--","28,3","72,0","245","--","0,00","0,0","0,0","--","--","62","87","148","--","0,0","156","139","409","--","--","--","--","0:00","0,0","--","0:00","Nej","--","--","--","--"
virtual_ride,2018-03-14 11:10:46,false,"Zwift - Jon's Mix","27,66","407","54:57","--","--","0,0","--","--","30,2","49,9","72","--","0,00","0,0","0,0","--","--","67","97","151","--","0,0","142","129","609","--","--","--","--","0:00","0,0","--","0:00","Nej","--","--","--","--"
virtual_ride,2018-03-12 12:00:38,false,"Zwift - Watopia","22,42","371","45:21","--","--","0,0","--","--","29,7","53,5","185","--","0,00","0,0","0,0","--","--","63","97","153","--","0,0","160","143","393","--","--","--","--","0:00","0,0","--","0:00","Nej","--","--","--","--"
virtual_ride,2018-03-08 17:13:37,false,"Zwift - London","12,01","191","22:34","--","--","0,0","--","--","31,9","50,0","30","--","0,00","0,0","0,0","--","--","59","104","167","--","0,0","163","153","398","--","--","--","--","0:00","0,0","--","0:00","Nej","--","--","--","--"
